,filepath,rocauc,brocauc,prauc,bprauc,f1,tn,fp,fn,tp
0,../logs/pretrain/142/regression_output_epoch_10_2020-07-07-13-52-28.csv,0.7427027027027027,0.7192,0.562473890694158,0.7296544525135216,0.5294117647058824,49,25,7,18
1,../logs/pretrain/142/regression_output_epoch_20_2020-07-07-13-52-49.csv,0.742972972972973,0.7879999999999999,0.5668770876237491,0.8036208160987108,0.5074626865671642,49,25,8,17
2,../logs/pretrain/142/regression_output_epoch_30_2020-07-07-13-53-10.csv,0.7381081081081081,0.6944,0.5592376361096021,0.7260507995273943,0.4923076923076923,50,24,9,16
3,../logs/pretrain/142/regression_output_epoch_40_2020-07-07-13-53-32.csv,0.7345945945945945,0.7248,0.5593456472510389,0.7589645339686382,0.4923076923076923,50,24,9,16
4,../logs/pretrain/142/regression_output_epoch_50_2020-07-07-13-53-54.csv,0.7351351351351352,0.6527999999999999,0.5615325746518461,0.7124003518814559,0.4923076923076923,50,24,9,16
5,../logs/pretrain/143/regression_output_epoch_10_2020-07-07-13-54-39.csv,0.7578378378378379,0.7152000000000001,0.6398164208151945,0.7649112426042604,0.4705882352941177,47,27,9,16
6,../logs/pretrain/143/regression_output_epoch_20_2020-07-07-13-54-54.csv,0.7540540540540541,0.8048,0.6349765914497638,0.8404230263290369,0.4615384615384615,49,25,10,15
7,../logs/pretrain/143/regression_output_epoch_30_2020-07-07-13-55-10.csv,0.7605405405405405,0.7616,0.6398030559692003,0.78928627008865,0.4615384615384615,49,25,10,15
8,../logs/pretrain/143/regression_output_epoch_40_2020-07-07-13-55-25.csv,0.762972972972973,0.7072,0.6476243352303013,0.7682670804532838,0.4615384615384615,49,25,10,15
9,../logs/pretrain/143/regression_output_epoch_50_2020-07-07-13-55-40.csv,0.7583783783783784,0.744,0.6481104988279106,0.799190669418798,0.4615384615384615,49,25,10,15
10,../logs/pretrain/144/regression_output_epoch_10_2020-07-07-14-41-41.csv,0.7943243243243243,0.7992,0.6524810080148155,0.8346052205104837,0.48484848484848486,49,25,9,16
11,../logs/pretrain/144/regression_output_epoch_20_2020-07-07-14-41-58.csv,0.7843243243243243,0.808,0.6489903537931978,0.8146024228554585,0.4615384615384615,49,25,10,15
12,../logs/pretrain/144/regression_output_epoch_30_2020-07-07-14-42-15.csv,0.7821621621621622,0.8256,0.6506902277343077,0.852701104037731,0.4615384615384615,49,25,10,15
13,../logs/pretrain/144/regression_output_epoch_40_2020-07-07-14-42-32.csv,0.7837837837837838,0.7952,0.659241877245033,0.8168217538159996,0.47619047619047616,51,23,10,15
14,../logs/pretrain/144/regression_output_epoch_50_2020-07-07-14-42-49.csv,0.7859459459459459,0.8128,0.6601381764611751,0.83214542540558,0.46875,50,24,10,15
15,../logs/pretrain/145/regression_output_epoch_10_2020-07-07-15-16-17.csv,0.7875675675675676,0.8432000000000001,0.6307493460712378,0.843568562447931,0.5,48,26,8,17
16,../logs/pretrain/145/regression_output_epoch_20_2020-07-07-15-16-32.csv,0.7991891891891891,0.8744,0.6541100183161062,0.880722701953555,0.46875,50,24,10,15
17,../logs/pretrain/145/regression_output_epoch_30_2020-07-07-15-16-48.csv,0.7989189189189189,0.7712,0.6531287605087683,0.8162031037259692,0.46875,50,24,10,15
18,../logs/pretrain/145/regression_output_epoch_40_2020-07-07-15-17-04.csv,0.792972972972973,0.832,0.6556513831832896,0.8537409564185783,0.47619047619047616,51,23,10,15
19,../logs/pretrain/145/regression_output_epoch_50_2020-07-07-15-17-19.csv,0.7962162162162162,0.752,0.6572988766261035,0.7757396989137761,0.47619047619047616,51,23,10,15
20,../logs/pretrain/146/regression_output_epoch_10_2020-07-07-15-16-17.csv,0.8118918918918918,0.7807999999999999,0.6580856111586969,0.8023507844558189,0.5507246376811594,49,25,6,19
21,../logs/pretrain/146/regression_output_epoch_20_2020-07-07-15-16-33.csv,0.8102702702702702,0.792,0.6599154166372094,0.8134390557069517,0.5151515151515151,50,24,8,17
22,../logs/pretrain/146/regression_output_epoch_30_2020-07-07-15-16-49.csv,0.8145945945945946,0.8111999999999999,0.674707863509725,0.8279501143910665,0.5230769230769231,51,23,8,17
23,../logs/pretrain/146/regression_output_epoch_40_2020-07-07-15-17-05.csv,0.8113513513513513,0.7216,0.6673065369131248,0.7642462490114021,0.5230769230769231,51,23,8,17
24,../logs/pretrain/146/regression_output_epoch_50_2020-07-07-15-17-20.csv,0.8132432432432433,0.7888,0.6740699344043887,0.8132932567766328,0.5230769230769231,51,23,8,17
25,../logs/pretrain/147/regression_output_epoch_10_2020-07-07-15-24-54.csv,0.825945945945946,0.8160000000000001,0.6683412417279325,0.8142759369888959,0.5714285714285714,54,20,7,18
26,../logs/pretrain/147/regression_output_epoch_20_2020-07-07-15-25-09.csv,0.8313513513513513,0.784,0.6784106120748643,0.7953813412128232,0.5846153846153846,53,21,6,19
27,../logs/pretrain/147/regression_output_epoch_30_2020-07-07-15-25-24.csv,0.8313513513513513,0.768,0.6765054437447242,0.786413654292413,0.6031746031746031,55,19,6,19
28,../logs/pretrain/147/regression_output_epoch_40_2020-07-07-15-25-39.csv,0.8248648648648648,0.8432,0.6701707623239107,0.8530838275832759,0.5806451612903226,55,19,7,18
29,../logs/pretrain/147/regression_output_epoch_50_2020-07-07-15-25-54.csv,0.818918918918919,0.8464,0.59434630010163,0.8547265705586546,0.5573770491803278,55,19,8,17
30,../logs/pretrain/148/regression_output_epoch_10_2020-07-07-15-23-01.csv,0.8329729729729729,0.7968,0.6625420537265737,0.8023015969388294,0.6153846153846154,54,20,5,20
31,../logs/pretrain/148/regression_output_epoch_20_2020-07-07-15-23-16.csv,0.8394594594594594,0.8031999999999999,0.6881110083642433,0.8108236561679962,0.6031746031746031,55,19,6,19
32,../logs/pretrain/148/regression_output_epoch_30_2020-07-07-15-23-31.csv,0.8427027027027028,0.8624,0.686700964337011,0.8735019345530857,0.5573770491803278,55,19,8,17
33,../logs/pretrain/148/regression_output_epoch_40_2020-07-07-15-23-46.csv,0.8443243243243244,0.7824,0.624251662250023,0.7394277575649428,0.5573770491803278,55,19,8,17
34,../logs/pretrain/148/regression_output_epoch_50_2020-07-07-15-24-02.csv,0.845945945945946,0.7616,0.6271662381591617,0.7236972370792233,0.5573770491803278,55,19,8,17
35,../logs/pretrain/149/regression_output_epoch_10_2020-07-07-15-23-01.csv,0.8686486486486485,0.824,0.7027376065087851,0.8120595177269843,0.6451612903225806,57,17,5,20
36,../logs/pretrain/149/regression_output_epoch_20_2020-07-07-15-23-16.csv,0.8708108108108108,0.8464,0.7025976932776046,0.8366926903243175,0.6129032258064517,56,18,6,19
37,../logs/pretrain/149/regression_output_epoch_30_2020-07-07-15-23-31.csv,0.8767567567567568,0.912,0.7183760281910101,0.903933126372215,0.6440677966101696,59,15,6,19
38,../logs/pretrain/149/regression_output_epoch_40_2020-07-07-15-23-46.csv,0.8756756756756756,0.896,0.7223305676898459,0.8934975506878664,0.6551724137931034,60,14,6,19
39,../logs/pretrain/149/regression_output_epoch_50_2020-07-07-15-24-01.csv,0.875945945945946,0.8808,0.7211291939532695,0.8813914321174374,0.6666666666666666,61,13,6,19
40,../logs/pretrain/150/regression_output_epoch_10_2020-07-07-15-25-28.csv,0.8378378378378379,0.8608,0.6691176955048806,0.8638614806370899,0.5806451612903226,55,19,7,18
41,../logs/pretrain/150/regression_output_epoch_20_2020-07-07-15-25-44.csv,0.8432432432432433,0.8400000000000001,0.6824243516113497,0.8365479951799646,0.6229508196721312,57,17,6,19
42,../logs/pretrain/150/regression_output_epoch_30_2020-07-07-15-25-59.csv,0.8432432432432432,0.8575999999999999,0.6118638028865611,0.7887369847625938,0.6,57,17,7,18
43,../logs/pretrain/150/regression_output_epoch_40_2020-07-07-15-26-14.csv,0.8443243243243242,0.8176,0.6112969667505137,0.81565068955812,0.5862068965517241,58,16,8,17
